dose,risk,name,value
7.20E-22,0,C1,2.566436318
7.20E-22,0,C2,0.690532515
7.20E-22,0,C3,0.000261049
7.20E-22,0,C4,9.87E-08
7.20E-22,0,C5,3.73E-11
7.20E-22,0,C6,1.41E-14
7.20E-22,0,C7,5.33E-18
7.20E-22,0,C8,2.02E-21
7.20E-22,0,C9,7.62E-25
8.12E-24,0,C1,28.51784632
8.12E-24,0,C2,6.345860556
8.12E-24,0,C3,0.000767219
8.12E-24,0,C4,9.28E-08
8.12E-24,0,C5,1.12E-11
8.12E-24,0,C6,1.36E-15
8.12E-24,0,C7,1.64E-19
8.12E-24,0,C8,1.98E-23
8.12E-24,0,C9,2.40E-27
2.42E-22,0,C1,0.914700035
2.42E-22,0,C2,0.243599051
2.42E-22,0,C3,8.66E-05
2.42E-22,0,C4,3.08E-08
2.42E-22,0,C5,1.09E-11
2.42E-22,0,C6,3.89E-15
2.42E-22,0,C7,1.38E-18
2.42E-22,0,C8,4.91E-22
2.42E-22,0,C9,1.75E-25
2.36E-24,0,C1,3.442639581
2.36E-24,0,C2,0.798501098
2.36E-24,0,C3,0.000123827
2.36E-24,0,C4,1.92E-08
2.36E-24,0,C5,2.98E-12
2.36E-24,0,C6,4.62E-16
2.36E-24,0,C7,7.16E-20
2.36E-24,0,C8,1.11E-23
2.36E-24,0,C9,1.72E-27
3.65E-27,0,C1,0.061241329
3.65E-27,0,C2,0.013104703
3.65E-27,0,C3,1.25E-06
3.65E-27,0,C4,1.20E-10
3.65E-27,0,C5,1.14E-14
3.65E-27,0,C6,1.09E-18
3.65E-27,0,C7,1.05E-22
3.65E-27,0,C8,1.00E-26
3.65E-27,0,C9,9.56E-31
3.73E-23,0,C1,0.473384611
3.73E-23,0,C2,0.123733886
3.73E-23,0,C3,3.93E-05
3.73E-23,0,C4,1.25E-08
3.73E-23,0,C5,3.97E-12
3.73E-23,0,C6,1.26E-15
3.73E-23,0,C7,4.01E-19
3.73E-23,0,C8,1.27E-22
3.73E-23,0,C9,4.04E-26
1.03E-29,0,C1,0.014988782
1.03E-29,0,C2,0.002843743
1.03E-29,0,C3,1.32E-07
1.03E-29,0,C4,6.13E-12
1.03E-29,0,C5,2.85E-16
1.03E-29,0,C6,1.32E-20
1.03E-29,0,C7,6.13E-25
1.03E-29,0,C8,2.85E-29
1.03E-29,0,C9,1.32E-33
4.53E-25,0,C1,5.708295265
4.53E-25,0,C2,1.226426207
4.53E-25,0,C3,0.000120114
4.53E-25,0,C4,1.18E-08
4.53E-25,0,C5,1.15E-12
4.53E-25,0,C6,1.13E-16
4.53E-25,0,C7,1.11E-20
4.53E-25,0,C8,1.08E-24
4.53E-25,0,C9,1.06E-28
5.86E-24,0,C1,0.02285836
5.86E-24,0,C2,0.006131709
5.86E-24,0,C3,2.28E-06
5.86E-24,0,C4,8.45E-10
5.86E-24,0,C5,3.14E-13
5.86E-24,0,C6,1.16E-16
5.86E-24,0,C7,4.32E-20
5.86E-24,0,C8,1.60E-23
5.86E-24,0,C9,5.96E-27
1.29E-21,0,C1,2.304074329
1.29E-21,0,C2,0.629685984
1.29E-21,0,C3,0.000261411
1.29E-21,0,C4,1.09E-07
1.29E-21,0,C5,4.51E-11
1.29E-21,0,C6,1.87E-14
1.29E-21,0,C7,7.76E-18
1.29E-21,0,C8,3.22E-21
1.29E-21,0,C9,1.34E-24
3.00E-25,0,C1,42.29377526
3.00E-25,0,C2,8.564889791
3.00E-25,0,C3,0.00058812
3.00E-25,0,C4,4.04E-08
3.00E-25,0,C5,2.77E-12
3.00E-25,0,C6,1.90E-16
3.00E-25,0,C7,1.31E-20
3.00E-25,0,C8,8.98E-25
